Type,Variable name,Alias,Deviance,n,Scale,Source
Landscape Attributes,build_Mean_distall_road,Euclidian distance to any road (major and minor)- (UNITS),0.12,11169,Point of building,Alex's data D:\ArcGISfiles\2017_LACounty\1_Data_20200320\Data_from_Alex\dens_1kmr_ha
Landscape Attributes,build_p_shrub_100,"Percent shrub land cover, 100 m around building",0.118,11181,Building,UVM
Landscape Attributes,build_p_water_10,"Percent water land cover, 10 m around building",0.061,11181,Building,UVM
Landscape Attributes,build_p_shrub_10,"Percent shrub land cover, 10 m around building",0.045,11181,Building,UVM
Landscape Attributes,build_p_water_100,"Percent water land cover, 100 m around building",0.039,11181,Building,UVM
Landscape Attributes,build_p_water_300,"Percent water land cover, 300 m around building",0.029,11181,Building,UVM
Landscape Attributes,build_p_water_200,"Percent water land cover, 200 m around building",0.019,11181,Building,UVM
Landscape Attributes,build_p_road_10,"Percent road land cover, 10 m around building",0.004,11181,Building,UVM
Topography,build_Mean_slope_100m_DEM,"Percentage slope, 100 m around building, derived from a 30 m digital elevation model",4.499,11181,Building,UVM DEM and nDSM--Miranda and Dexter did this
Topography,build_Mean_slope_30m_DEM,"Percentage slope, 30 m around building, derived from a 30 m digital elevation model",3.551,11181,Building,UVM DEM and nDSM--Miranda and Dexter did this
Topography,build_Mean_aspect_100m_DEM,"Aspect, 100 m around building, derived from a 30 m digital elevation model",0.173,11181,Building,UVM DEM and nDSM--Miranda and Dexter did this
Topography,build_Mean_aspect_30m_DEM,"Aspect, 30 m around building, derived from a 30 m digital elevation model",0.099,11181,Building,UVM DEM and nDSM--Miranda and Dexter did this
Topography,build_Mean_elev_30m,"Elevation, 30 m around building, derived from a 30 m digital elevation model UNITS",0.07,11181,Building,UVM DEM and nDSM--Miranda and Dexter did this
Topography,build_Mean_elev_100m,"Elevation, 100 m around building, derived from a 30 m digital elevation model UNITS",0.055,11181,Building,UVM DEM and nDSM--Miranda and Dexter did this
